complaint_what_happened,Topic_Name
"Started having the Chase XXXX card since XX/XX/2017. Enjoyed the benefits but hated the service ( disorganized customer service and put under periodic review twice in 3 months ). 
I applied for another credit card ( Chase XXXX ) the end of XX/XX/XXXX, and received the card a week later. However, before I even started using the new card, Chase closed all my account without contacting me via email/phone. I have done no suspicious activity or spending, paid every bill full amount and on time. 
My problem with Chase was : why gave me another credit card when this would lead to the closing of all cards? My credit score was harmed and, more importantly, the closing of account is causing great inconvenience to my life.",Credit Card
"This situation involves a XXXX painting company what I hired last XXXX ( XXXX ) to do some interior painting in my home, and a disputed amount of {$1600.00} that they charged on my credit card without my permission, and without finishing the job. I am in a dispute with Chase, who has messaged me that they are ruling in favor of the painting company ... who in my opinion very clearly committed fraud. I agreed to have the company take a 1/3 payment for the job through my credit card. After the company worked in my home for 1-1/2 days, I let them go ( it was Chase 's suggestion that I do this, as I had a conversation with one of their representatives over the phone ) ... due to issues that were unresolved with regard to quality of work and professional behavior of painters. Unfortunately I forgot to call my credit card company to protect me, and the very next day after I let them go via email, the painting company ( XXXX XXXX XXXX ) charged my card for the full remaining 2/3 of the original job ( on XX/XX/XXXX I was charged {$1600.00} ) ... even though a large portion of the job was not complete, and I never signed off and gave them permission to charge anything. The company made NO attempt to settle this situation, and I took their action of charging my account without my permission as a clear message that they were not willing to satisfy me in any way. 

After providing Chase with multiple photos, a receipt from another independent painter that I hired to fix the poor work, and complete the work that was never done, as well as a letter from the same painter stating his view of the situation ( which Chase requested of me ), I received a letter from Chase that they were still not changing their decision to rule in favor of the painting company. 

I have no reason to lie about any of this, and I have excellent credit and no history of any other disputes ( other than a vacation package scam ). I have no criminal record, and have never been in trouble with the law. I am only guilty of being very upset over the phone when the Chase has been difficult to deal with. But being upset over the phone in no way makes me a liar, or someone who is trying to get out of paying their bills. In this case, the painting company clearly committed fraud, and Chase does not seem to care. It appears that the painting company has dealt with complaints before, and maybe has a lawyer who is threatening them. I do not know what else to assume in this situation, but I do know, and would swear in a court of law, that I am not in the wrong in this situation.",Client Communication
"On XX/XX/2019, I deposited a check in the amount of {$930.00} into my account. The next day, Chase requested more information, which I provided. On XX/XX/XXXX, I noticed a recurring charge for XXXX  was not going through. I thought this was odd since the charge was for {$2.00} and I had nearly {$400.00} in my account. I called Chase and they told me the check I deposited was being returned and they were closing my account. Furthermore, the money I already had in my account was frozen and inaccessible to me. 

Today, XX/XX/XXXX, I pulled up the account online and saw that the check was processed and shows as available in my account. I called Chase once more and they reiterated that they were closing the account and the check would be returned. 

I have received no notice of cancellation from Chase, and would not have even known had I not called them myself. I have received no explanation for the closure, and they steadfastly refuse to provide one. They continue to hold my money hostage with no explanation.",Deposits & Checks
"A more extensive description is in the attached Word document. In short Chase Bank discriminated against me, a XXXX individual, by refusing to consider the cost and added value of the conversion needed to make a regular minivan XXXX since they claimed they could not verify the value of the vehicle because it was not listed XXXX, although there are numerous other sources on the internet to determine the fair value of these vehicles. They offered me significantly less than the amount I asked for at nearly twice the interest rate even though my credit score is over XXXX and I have many accounts with them. 

I spoke to many individuals at the bank who refused to budge on this policy that would only recognize the value of the vehicle as a regular, versus XXXX vehicle. I spoke to both the underwriter and personnel at their corporate office ( see attachments XXXX. It should be noted that after a very brief discussion with XXXX XXXX XXXX XXXX, I was given a loan for the full amount requested at a lower rate than Chase 's best rate.",Loans
"There are unknown hard inquiries on my credit report. Im requested the verification of the inquiries and the method of verification. JPMCB AUTO FINANCE Inquiry : XX/XX/2019, XX/XX/XXXX Inquiry : XX/XX/2019, XXXX XXXX Inquiry : XX/XX/2019. But companies did not provide the following proof : Permissible Purpose My written authorization Proof that I personally initiated these inquiries.",Credit Inquiry
"For the 1st time in over 3 years, I have fallen on hard times in regards to making payments on my card. I have never missed a payment and this is the first time this has happened. I have literally been getting automated ( dialer ) calls 4-5 times per day including Saturdays. This is 100 % unacceptable and borderline harassment. I have been in the XXXX XXXX for over 13 years and I am a XXXX XXXX XXXX. I am currently gong through a divorce at in the process of filing for bankruptcy. I am asking at this time that all communication via telephone to CEASE until my attorney is in contact with Chase.",Payments
"This complaint is regarding a mortgage for a property I purchased in XXXX XXXX. I had several mortgage transfers during the life of the loan and all and gone smoothly until Chase Bank acquired my loan. XXXX XXXX XXXX XXXX. had owned my loan through XXXX XXXX. I had been set up with By weekly automatic payments of XXXX. The mortgage was for a property in Arizona and the statements were being mailed to my secondary address in XXXX TN as I was based in XXXX XXXX and had most of my mail transferred there for convenience. I had no delinquencies on the mortgage. Everything was automatic as far as the payments and escrow was concerned. 

My loan was transferred from XXXX XXXX XXXX to JPMorgan Chase Bank, N.A. on XXXX XXXX, XXXX unbeknownst to me and no effort was made to inform me of this transfer except by mail to the secondary address. Later, in XXXX, I was informed by XXXX, XXXX, via email, that they had taken over collections of my loan payments from Chase. This was the first I had heard that my loan was no longer with XXXX. I contacted XXXX and found out that in fact Chase had purchased my loan and had me shown as delinquent for three months. I immediately contacted Chase and asked why I had not been informed and why they had not taken reasonable effort to contact me about the loan transfer. XXXX obviously acquired my information from them and was able to contact me about my loan transfer. I was upset about the fact that Chase was unable to do the same! 

Chase reported late payments for the months of XXXX, XXXX XXXX and XXXX XXXX. They were, in fact, not received because I had no idea the loan had been transferred much less to whom. Chase had all of my contact information including email and phone number but made no attempt to reach me. XXXX did a great job informing me of the changes in my loan and therefore, I was able to bring my payments up to date as soon as the transfer happened. In light of this situation, I had contacted Chase Credit research department to investigate and to remove the report to the credit agencies as they were the ones who did not make reasonable effort to contact me about the changes to my loan. I had never been late for the term of the loan until it was purchased by Chase bank and the lack of communication by Chase was the underlying cause. I did not ask for my loan to be transferred and when a financial institution changes the terms of an individuals loan, they should make every effort to communicate those changes to the customer in order to avoid situations such as this. 

The loan was finally brought up to date with a payment draft of XXXX on XXXX/XXXX/XXXX. 

I submitted a request to investigate to Chase Bank 's Credit research dept. and they received it around XXXX XXXX, XXXX on XXXX XXXX they replied that they could not update their credit reporting on my behalf. I submitted another request in XXXX of XXXX and informed them of my intentions to file a complaint with this agency if they would not make the situation right by realizing their fault in the matter. In short, they took no action to correct the situation they they had ultimately caused. 

I had had this loan for around 15 years and had never been late! There was no way that I would have intentional let this loan payment be late because of the amount of equity I had built up in the property! ( I only owed around {$45000.00} on a house worth around {$300000.00} XXXX If I had left it up to Chase Bank, the property may have been foreclosed on without my knowing because of their inept communication practices. Again, they had my Phone number and email address ; which was used by XXXX, the organization that acquired the loan from them along with all of my information. 

I hope that Chase is called out for this poor business practice so that other customers are not in the same situation as me.",Loans
"This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application. I highly recommend you generate verification that JPMCB - AUTO FINANCE has been reported completely in accordance with the Fair Credit Reporting Act regulations, it's really a serious problem to mis-report. Moreconfirmation of the aforesaid item too. My proper request mustover, I was never 30 days/60 days/120 days late in any of my payments and I'm not greatly tuned in to the date opened so I prefer to ask you be investigated as soon as possible and confirmed to be correct. Thanks!",Loans
"I 'm  currently banking with chase and have been for years. I have  XXXX  checking accounts with them. This morning we I wake up to two insufficient funds fees added to my account prior to this I received no notifications stating that my account was overdrawn anything nor did I get a notification about the first insufficient funds fee added this is not the first time this has happened to me it 's been happening over the years that I 've been banking with chase but now I tired I feel that there just taking money for no apparent reason, money I do n't have to give away I have kids to feed. When I called and told them about my issue they tell me that 's there is nothing they can do, I asked even if there a mistake on the banks behave the representative says "" there nothing we can do ''.",Fees & Charges
"It was a classic bad check scam. I received and cashed a bad check from XXXX XXXX in my local Chase bank for {$3800.00} on XXXX XX/XX/2019, and was asked to transfer {$2000.00} of the check to someone else. I made the transfer on XXXX XX/XX/2019 via XXXX. The check bounced, and I lost my {$2000.00}. I filed a police report with the XXXX XXXX Police Department and reported the incident to Chase as well. However, Chase was unable to do anything about the XXXX transaction despite XXXX being a product produced by a consortium of banks, including Chase.",Deposits & Checks
"I just learned today that Chase is closing the bank account of the XXXX XXXX XXXX ( XXXX ) after we had been with them over 12 years. They did not close my other XXXX accounts, XXXX of which is the XXXX XXXX XXXX XXXX of XXXX XXXX. 

They refuse to tell me why they closed the account saying and I quote the person I spoke with a XXXX XXXX XXXX : "" We have the right to not give out the information on why we are closing your account. We have conducted a review of each and every account and have found that somehow we find risk and it is our right not to tell you what that risk is. The decision made by entire Chase company. I did not make the decision. We can not tell you who in Chase made the decision to close your account. '' We do not sell, distribute or in any was deal with XXXX itself. We are an XXXX patient support group and law reform organization that works within the legal and political system to end XXXX prohibition. 

Chase Bank seems to believe they have the right to deny financial services to a person because they disagree with their political position on a legal issue. I wonder if a federally chartered bank can deny financial services for that reason. They could not do it for race, ethnicity or religion. Is this a free speech violation of the first amendment for a federally chartered bank to do this? 

I am not the only XXXX to have this happen. XXXX had all its credit card processing accounts closed for the same reason last week. 

The question is why are so many financial institutions doing this as we are doing nothing illegal. Is this their own decision to undermine us or is some backroom power ( law enforcement? XXXX? ) putting pressure on them to pull the financial rug out from under the XXXX movement?",Account Management
"I purchased a new home in XX/XX/XXXX, and Chase is the mortgage holder. In XX/XX/XXXX, I received an escrow adjustment stating an increase in property taxes of {$3100.00}. In actuality, my property taxes for XX/XX/XXXX increased only {$27.00}. After numerous calls to  Chase, they admitted ( on a recorded line ) that they miscalculated the original escrow. They had only figured a half years taxes into the equation at time of closing. They are now asking me to pay an additional {$4000.00} in additional escrow. This would increase my mortgage payment by approximately 13 %, from {$3300.00} to {$3700.00}. I explained that this was Chase 's mistake, and I should not be asked to pay an additional {$4000.00} ( or a 13 % increase in mortgage payment ) because of their error. I have only been in the house just over one year ; this has significant financial consequences on my monthly mortgage payment, due to their mistake. I am asking Chase to fund the additional {$4000.00} in additional escrow that they require.",Mortgages
I contact chase bank to do a balance transfer to pay off my other credit cards and they are unable to do so and they told me that the promo is discontinued on XX/XX/XXXX and I have to wait for long time do so and Im little behind on my other credit cards bills and I would need to do a few smaller transfers and I will pay the interest along with it and chase refused to honor my request,Balance Transfer
"Primary Issue : I have two credit cards with Chase Bank. 
I would like to close them. 
The website does not allow the user to close the account and directs the user to contact Chase via phone. 
The phone menus do not have any options for either closing the account or talking to a representative. Phone menu options that include closing the account return the user to other menus to go back to where the user started from. 

Second Issue : There are two fraudulent charges on one of the accounts. There is no way to resolve them without talking to a representative.",Account Management
"I applied a Chase Sapphire Preferred credit card on XXXX XX/XX/2020 in a chase branch ( Address : XXXX XXXX  XXXX XXXX, XXXX, FL XXXX ), but the banker who served me got my address wrong. She failed to make my mailing address appear in Chase 's system.And I realised it and updated my address on XX/XX/XXXX ( the reason why I realised it so late was becuase this banker failed to submit my prove of address and the duplicate of my social security card ), and they promised me that the credit card will be delivered to the update mailing address, but it was still delivered to the old address. So I have a cerdit card mailed to the wrong address after I update my address.",Credit Card
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, La XXXX ssXXXX XXXX This letter is a formal request to remove inquiries from my 3 Bureaus XXXX, XXXX  and XXXX  per FCRA if the companies listed can not provide me with my signature that I gave authorization to the following companies. The following companies are XXXX  XXXX XXXX XXXX dated XX/XX/XXXX, XXXX  XXXX XXXX XXXX dated XX/XX/XXXX, JPMCB Auto Finance XX/XX/XXXX, XXXX XX/XX/XXXX. Please remove if a signed authorization with my signature can not be provided or validated under the 609 of the FCRA. 
Under the FCRA I ask you to investigate and to provide me with the authorized document with my signature that I in fact gave authorization to have my credit pulled. 
In accordance with the Fair Credit Reporting Act, I respectfully ask you to investigate my claim and, if after your investigation, you find my claim to be valid and accurate, I ask that you immediately delete the unauthorized inquiries outlined below. Furthermore, I ask that you send a corrected copy of credit profile to me at the above address. 
If your investigation determines the inquiry was authorized, I respectfully request you forward to me a description of the procedure used to determine this within 15 days of the completion or your re-investigation. 
Thank you for your consideration and cooperation and if you have any question concerning this matter I can be reached at XXXX. 
Sincerely, XXXX XXXX",Credit Inquiry
"I took a trip to XXXX, XXXX XX/XX/2016 and made several attempts to withdraw money from a bank ATM. I was not able to withdraw money in XXXX banks that I tried. I then logged into my online bank account to make sure my travel notification for my debit card was on. My credit cards travel notification were on, however my debit card was not so I turned it on. After turning it on, I again attempted to withdraw at another bank ATM. Again I was not able to so I gave up for the night. Later that night I logged in again to my online account to see {$410.00} was taken out of my checking account. I called Chase to report it and explained to them what happened ( only thing that could have happened : card cloning ) and they "" gave me credit due to ATM dispute '' of {$410.00} and {$5.00} ATM fee. About 3 weeks later I am on another trip and I am checking my online account to find "" reverse credit for ATM dispute '' of {$410.00}. I called Chase to try and figure out what happened. What they said was that they had evidence that what I had initially said was not possible. I asked them for their evidence and they basically said that it is physically impossible for someone who does not have my debit card to take money out of a ATM because it is a chip enabled card. In total I talked to XXXX representatives and they all said the same thing.",Credit Card
"This email is in regards to XXXX XXXX XXXX XXXX. My XXXX children and I stayed at that location from XXXX2020 through XXXX2020. Throughout the duration of my stay, there were unauthorized transactions that took place on my Chase banking account by this business. I dealt with front desk personnel XXXX XXXX, XXXX XXXX, XXXX XXXX ( who I told was fired ), XXXX, XXXX, and XXXX. There was one other XXXX female at the front desk but don't remember her name. There was {$160.00} taken from my bank account unauthorized and not sure what it was for. When XXXX XXXX and XXXX XXXX was asked about it they refused to address it and became disgruntled and argumentative. On the same day they authorized {$240.00} from my account that they weren't supposed to. It was only supposed to be {$200.00}. They blamed it on Chase Bank. Despite, disputing it with my bank after the front desk staff advised it would drop off and didn't, XXXX XXXX still lied to Chase Bank claims department and stated it wasn't an error. 

When I reviewed my account and seen that there were charges that weren't supposed to be on my account, I requested from XXXX XXXX print outstanding of my booking receipts to compare to my reservations. She stalled for an entire day. She gave me a 3 pages one day and the other pages the next. They weren't given all at once. I noticed that XXXX XXXX was running back and forth from the back offices while smirking. XXXX XXXX was in the back giving her the papers to give me. Once I finally reviewed the paperwork they gave me I noticed that they were altered. My reservations would sometimes be for 3 days and within that particular reservation, per the documentation provided to me my rates would increase from day to day. One or the two of them were altering documents to make it appear that they charges were legit when they weren't. They would run my card when I wasn't at the desk or hadn't authorized the transactions. As a result, my account was overdrawn on more than one occasion for more than {$500.00}. There was a transaction for over {$480.00} that I don't recall authorizing. The XXXX owners called my cell phone and threatened me. They came over to the property on XXXX2020 and told me I had to come downstairs to speak with them because of the claims I'd filed with my bank. They both were verbally aggressive. The heavier XXXX repeatedly walked up on me. He even snatched my cellphone and moved it to another location on the table. They didn't care about President Trump 's social distancing policy in place. They even started that they didn't care about XXXX law enforcement. They ordered my XXXX children and I off the premises. 

They have plumbing problems. They also have leaks in their A/C units as well as no air at all in some rooms that they still rent out. Closets are not in and broke. Chairs are completely broke which left a scare on me. I still called XXXX XXXX customer service and gave the location compliments. Once I did that, they were horribly mean. Again, they are lying on claims that are valid. They stole XXXX XXXX Reward Points from me. They billed my checking account for nights that Reward points paid for which gave me free nights. They stole Reward points and checked others in with my free night vouchers. Even XXXX told me that I should've received my monies back from the claims I filed, but XXXX XXXX consistently lies. He was the one who ran the {$240.00} transaction when it was only supposed to be for {$200.00}. 

They would authorize my account for lower amounts while I was at the desk, but then they would post for a higher amount. This had nothing to do with security holds. 

Again my account is now overdrawn {$1000.00} due to their antics.",Fraud Claims
I was denied for a credit card application too many times and I was denied due to having too many cards open few months ago and today I submit a credit card application on XX/XX/2018 and they denied me all the way cause my date of birth was fake and they need some proof and I told them I don't have the way to go to the branch and I feel like I will be denied again if I submit my ID AGAIN and the bank will see my race and gender .. and I think this is discrimation and wrong and I'm so upset and I feel like if this was a XXXX person then he will be appoved right away .. the rep was rude to me and gave me a hard time and refuse to remove the inquiry,Credit Card
On or around XX/XX/2019 an single application was submitted for credit. An inquiry was authorized and my XXXX pulled. I was informed that the application was under review. The next day I contacted Chase and was told that the application was denied. I was told by the representative that I could be transferred to the reconsideration department. I informed the representative that would be fine. Upon speaking with the representative at no time was I ever informed by the representative and I did not authorize the pull of my XXXX report which resulted in a un authorized inquiry on my XXXX report. When I was notified by XXXX that Chase had pulled my report I contact the phone number that was on my credit report. I spoke with a representative and explained that I did not authorize a second pull on my credit report for reconsideration of the denied application and I was never informed that this would be taking place. I was advised that they would investigate and provided me a call back. Which never happened. I have received no correspondence from this creditor at all related to the denied application or the investigation into the the unauthorized pull of my XXXX report.,Credit Report
"During the process of taking a mortgage for my apt purchase, Chase mortgage representative offered my a incentives to close on the mortgage. one of them was getting {$500.00} when 1 do 3 things 1.  Open a Checking account with Chase 2. Paperless mortgage statements 3. auto debit the mortgage payment from that account In the email I received from the banker with the details, there was no mention of a time frame to open this account within to qualify. Based on the benefits, I closed the mortgage with Chase. When I tried to open the account 8 months after closing, after 10 calls, Chase lets me know that I am not eligible as the time frame to qualify is only 60 days. They also let me know that they cant do anything as the banker who closed the loan with me is no longer with the firm. 

The XXXX cash bonus was one of the reasons I opened my mortgage with Chase and they not honoring what was offered makes me feel cheated. 

Not attaching mail proof as I have details on the mortgage. but have shared the mail with JP morgan. I can attach if needed",Mortgages
"XXXX recently refunded a purchase I made to my Chase credit card. The card the money was returned to was closed by Chase last year. I have reached out to Chase to request this money be returned to me, however, they refuse to look into the matter. They have only sent me canned responses for over a month now, stating they will "" get back to me within 6 business days ''. Every single time I reach out, they say the exact same thing - even though it's been close to 25 business days since I requested the help. Chase needs to return this money to me immediately.",Transfers
"At certain times during the past few months, I noticed that one of my credit card balances was incorrect/wrong, either as a result of a compromised account or late postings to my account, for example. Unfortunately, I had to purchase items, such as household products, personal hygiene items, soap, hand sanitizers and other related miscellaneous products including, but not limited to food selections to alleviate any/all food insecurity that I was and/or am currently experiencing as a result of COVID-19. In order to comply with CDC guidelines regarding ways to stop the spread of the novel coronavirus, COVID-19, I find myself in debt today, XX/XX/2020, with little relief in sight. Additionally, I am recovering from XXXXXXXX XXXX that occurred in XXXX, 2020, and I was told by a bank representative that some leeway is available to consumers who can't make full balance amount payments as a result of sickness, such as XXXX. Apparently, that is not entirely true. Coupled with the financial hardship of COVID-19 is the financial hardship that I am experiencing as a result of XXXXXXXX XXXX and XXXX. When I inquired about financial assistance due to sickness at my bank, I was told that the only financial assistance that I could access was the ( elective ) financial assistance provided as a result of COVID-19. 

I feel as if my bank is trying to rip me off, and furthermore, the bank does not seem at all interested in my personal financial hardship due sickness. The only financial assistance option provided by my bank is related to COVID-19 financial assistance, not assistance related to the fact that I was sick ( and recovering from ) with XXXX. My XXXX XXXXXXXX XXXX XXXX began in XXXX, 2020 and ended in XXXX, 2020, with one more procedure forthcoming, which needless to say was/has been delayed due to COVID-19. 

What are the the general banking rules with reference to credit card balances that can not be paid in full, when a consumer, such as myself, is stricken with XXXX? I would like to access more information about the "" sickness '' related ( clauses ) policies and/or rules, for instance, that are implemented when a consumer can't pay their credit card balances in full as a result of sickness? 

One of my main concerns pertains to late fees ( which may be waived by the upon request ) but what about compounded interest accrual that is being charged during an unprecedented pandemic, when interest rates are too high to begin with for the bank ( s ) to fairly charge interest on balances that a consumer, such as myself, can not pay in full as a result of this pandemic, COVID-19? The bank 's current offering is unfair, could jeopardize a consumer 's personal credit history/score as well as compromise future access to credit and/or borrowing/lending options, for example. My bank current financial assistance offer is not good enough.",Balance Transfer
"after several conversations and their inability to assist me get back on track, they continue to call about credit card debt owed ; calling on sundays and holidays, multiple times per day ; after I have asked them not to call since I can not pay and they can not help. they have violated the FDCPA and I have filed complaints with CFPB and FTC",Credit Card
"I have 2 fraudulent atm transactions on my Chase debit card. I filed a claim and it was denied. The reason they gave me is that the PIN was never entered incorrectly. What does that have to do with anything? So whoever stole my PIN number typed it in correctly. BIG DEAL!!! That has no bearing on my claim. They also they denied me because the account was open less than 30 days ago. Again, what does that have to do with the fact that my card and PIN was stolen? The third reason they said I was denied is that there are charges after the ones I disputed that I did not dispute. That is completely false. There are no charges after the 2 fraudulent ATM transactions in my dispute. There is an ATM charge from Chase but thats all. The 2 transactions in my dispute are both for {$500.00}. One is on XX/XX/XXXX and the other is on XX/XX/XXXX. There are no other transactions after that. If there were then I would dispute those as well. The only thing other than the fraudulent ATM transactions is the atm fees. They should be reimbursed as well. I cant believe a bank as big as Chase could have such a poorly executed fraud investigation. The transactions werent mine, so honor your zero liability policy!",Fraud Claims
"On XXXX XXXX, i was told that my account was closed. The reason is that i do n't have utility bill to prove my address is active. Chase closed my account. Until now, nearly a month, i did n't receive the reset of my money. It is very terrible experience. i do n't know when can i get my money back. It is a big amount of money for me.",Transfers
